"","lat","lng"
"54011",38.4135571428571,-82.2528857142857
"54009",40.2589,-80.6127666666667
"54051",39.9392,-80.70684
"54065",39.583625,-78.348825
"54071",38.7195333333333,-79.3676833333333
"54001",39.1105166666667,-80.0259333333333
"54013",38.8874666666667,-81.1389
"54035",38.8407666666667,-81.7324833333333
"54091",39.321775,-80.0409
"54059",37.6757083333333,-82.1234666666667
"54057",39.4886888888889,-78.9131888888889
"54049",39.4976666666667,-80.2281066666667
"54075",38.3517285714286,-79.9476142857143
"54101",38.5034363636364,-80.4373818181818
"54053",38.82666,-82.08107
"54007",38.7267,-80.7465285714286
"54097",38.926025,-80.25725
"54015",38.45165,-81.062725
"54109",37.6114866666667,-81.46774
"54087",38.76155,-81.398
"54103",39.5995888888889,-80.6425777777778
"54021",38.969825,-80.839475
"54067",38.2880181818182,-80.8073818181818
"54027",39.3539285714286,-78.6118285714286
"54069",40.0939333333333,-80.6440166666667
"54003",39.47428,-78.00942
"54025",37.87838,-80.5044333333333
"54073",39.367,-81.2329
"54089",37.7331666666667,-80.8974666666667
"54085",39.19273,-81.06537
"54105",39.04915,-81.28685
"54095",39.5084166666667,-80.99745
"54041",39.001025,-80.496775
"54043",38.17995,-82.1217
"54017",39.235275,-80.733175
"15003",21.4510925,-157.97308
"15009",20.8891617647059,-156.563861764706
"15001",19.655766,-155.385324
"15007",22.0235125,-159.521125
"15005",21.1895,-156.9818
"12119",28.75037,-82.06021
"12001",29.6733473684211,-82.3388631578947
"12091",30.64321,-86.592345
"12005",30.240175,-85.65098
"12037",29.8005833333333,-84.7449833333333
"12099",26.6872960784314,-80.1652215686274
"12105",27.9698590909091,-81.7607454545455
"12011",26.1457444444444,-80.20436
"12121",30.2096181818182,-83.0340363636364
"12077",30.298425,-84.895575
"12059",30.8728888888889,-85.8251666666667
"12045",29.9034111111111,-85.2572333333333
"12085",27.1464357142857,-80.25435
"12093",27.32666,-80.85146
"12023",30.1377,-82.6403
"12113",30.6610392857143,-87.0648642857143
"12021",26.1173666666667,-81.6574444444445
"12075",29.3243866666667,-82.6928266666667
"12015",26.9277307692308,-82.1276846153846
"12103",27.8972131578947,-82.7584552631579
"12095",28.5279533333333,-81.4178111111111
"12071",26.5962,-81.8999307692308
"12086",25.7658768115942,-80.2882884057971
"12019",30.0486583333333,-81.8319666666667
"12109",29.9295947368421,-81.3620578947368
"12041",29.66815,-82.885475
"12067",30.01518,-83.16002
"12081",27.4811714285714,-82.5365333333333
"12057",27.9514515151515,-82.3670121212121
"12101",28.294108,-82.461064
"12083",29.2012333333333,-82.0982541666667
"12073",30.4646,-84.1954714285714
"12117",28.7010733333333,-81.3047333333333
"12017",28.847425,-82.4592125
"12053",28.533425,-82.445375
"12069",28.828584375,-81.704065625
"12063",30.7768555555556,-85.2245833333333
"12097",28.1603916666667,-81.2614083333333
"12111",27.41224,-80.3334
"12129",30.1281222222222,-84.3458444444444
"12115",27.228348,-82.456584
"12089",30.6054272727273,-81.7041090909091
"12003",30.29074,-82.25554
"12127",29.07012,-81.1563366666667
"12055",27.386525,-81.323775
"12123",30.0202166666667,-83.5430916666667
"12131",30.66954375,-86.18645
"12049",27.5190333333333,-81.8379555555556
"12035",29.4800444444444,-81.2183333333333
"12033",30.6426541666667,-87.3208333333333
"12029",29.5542833333333,-83.1746
"12027",27.8799,-81.790725
"12031",30.31384,-81.57554
"12087",24.80140625,-81.04645625
"12039",30.61859,-84.60457
"12047",30.504525,-82.9393
"12133",30.6735571428571,-85.9154857142857
"12043",26.920225,-81.1531
"12107",29.5957166666667,-81.696275
"12007",29.9228142857143,-82.1714285714286
"12009",28.255725,-80.677403125
"12013",30.416075,-85.162575
"12061",27.7018461538462,-80.4263846153846
"12079",30.4959285714286,-83.4715857142857
"12065",30.4625,-83.8734333333333
"12125",29.995275,-82.35095
"12051",26.73968,-81.24842
"56001",41.309625,-105.9127125
"56039",43.52991,-110.80576
"56025",42.929819047619,-106.451576190476
"56003",44.5888846153846,-108.242538461538
"56023",42.5063578947368,-110.775131578947
"56043",44.01875,-107.7013
"56037",41.6033909090909,-109.209759090909
"56007",41.5145333333333,-106.81898
"56035",42.834625,-110.07645
"56015",41.9669555555556,-104.273211111111
"56013",43.075765,-108.612555
"56029",44.662425,-109.1877875
"56011",44.495975,-104.56035
"56041",41.28542,-110.5364
"56017",43.71812,-108.2696
"56045",43.93855,-104.357175
"56033",44.756725,-106.874233333333
"56021",41.2095636363636,-104.467081818182
"56031",42.1026333333333,-104.891625
"56019",43.8862333333333,-106.515933333333
"56027",42.8115,-104.457375
"56005",44.2559,-105.46854
"56009",42.7553375,-105.5074375
"33013",43.2602785714286,-71.6886714285714
"33011",42.8998,-71.68545
"33003",43.81078,-71.18644
"33005",42.9062,-72.3093
"33009",43.9292933333333,-71.8997533333333
"33015",42.9731833333333,-70.9786166666667
"33019",43.38972,-72.2717
"33007",44.5837888888889,-71.4827222222222
"33001",43.5676833333333,-71.4818
"33017",43.3128142857143,-70.9571428571429
"34023",40.4507302325581,-74.4027511627907
"34001",39.4493625,-74.6290583333333
"34015",39.7523861111111,-75.1540777777778
"34041",40.81714375,-75.0089
"34007",39.8600980769231,-75.006875
"34025",40.2753441860465,-74.1560581395349
"34031",40.9967857142857,-74.2691333333333
"34027",40.8684338461538,-74.5064307692308
"34017",40.7562083333333,-74.0659083333333
"34003",40.9347634920635,-74.0483777777778
"34005",39.987994,-74.797748
"34035",40.5619163265306,-74.601
"34037",41.1275181818182,-74.633103030303
"34029",39.9259481481481,-74.2207148148148
"34021",40.2699125,-74.6669416666667
"34009",39.0592130434783,-74.8303695652174
"34011",39.38075,-75.1326916666667
"34039",40.6577307692308,-74.3171769230769
"34013",40.80591,-74.24212
"34019",40.59596,-74.9193
"34033",39.6374684210526,-75.3867052631579
"35045",36.6208222222222,-108.290296296296
"35033",36.00637,-105.18559
"35055",36.4353714285714,-105.6357
"35031",35.5453846153846,-108.611473076923
"35023",32.1166857142857,-108.797914285714
"35009",34.5696333333333,-103.246066666667
"35017",32.7396772727273,-108.277209090909
"35043",35.58765,-106.6200625
"35001",35.1342217391304,-106.55872173913
"35027",33.4841533333333,-105.53394
"35035",32.80088125,-105.8239625
"35006",35.0928583333333,-107.646183333333
"35039",36.3158238095238,-106.262871428571
"35049",35.660835483871,-106.017048387097
"35057",34.6849692307692,-106.049146153846
"35053",34.2449368421053,-106.9159
"35013",32.277888,-106.784732
"35061",34.7373565217391,-106.763704347826
"35015",32.5214909090909,-104.288590909091
"35007",36.5161375,-104.8644
"35059",36.5007,-103.560485714286
"35019",34.9909666666667,-104.925122222222
"35047",35.4944421052632,-105.293657894737
"35005",33.27875,-104.34955
"35028",35.85005,-106.24635
"35029",32.1827333333333,-107.764
"35011",34.494225,-104.30805
"35041",34.02782,-103.40152
"35003",33.84943,-108.57872
"35025",32.8217818181818,-103.293218181818
"35037",35.17946,-103.49858
"35021",35.8559333333333,-104.072733333333
"35051",33.1093923076923,-107.407592307692
"48293",31.56706,-96.573
"48375",35.272575,-101.8813125
"48053",30.68477,-98.21855
"48229",31.412575,-105.54505
"48325",29.2895555555556,-98.9887222222222
"48373",30.7605928571429,-94.8543357142857
"48427",26.4740476190476,-98.8351261904762
"48147",33.57313125,-96.135825
"48367",32.78448125,-97.7644875
"48245",29.9465769230769,-94.0851692307692
"48039",29.192037037037,-95.4429222222222
"48071",29.7635916666667,-94.6758333333333
"48283",28.3776333333333,-99.1477333333333
"48467",32.544625,-95.776725
"48153",34.0802666666667,-101.348733333333
"48349",32.0569476190476,-96.4766380952381
"48015",29.8804916666667,-96.26575
"48285",29.4167125,-96.966275
"48439",32.7742888888889,-97.2780444444444
"48177",29.4813,-97.5614909090909
"48199",30.2980428571429,-94.3795071428571
"48507",28.80582,-99.79314
"48029",29.4807363636364,-98.4944151515152
"48099",31.3798666666667,-97.7584333333333
"48403",31.3035666666667,-93.9342833333333
"48085",33.1647777777778,-96.5689592592593
"48031",30.28096,-98.44492
"48391",28.29876,-97.1093
"48309",31.546904,-97.152916
"48127",28.5127285714286,-99.7375
"48279",34.0502125,-102.3259375
"48179",35.4283166666667,-100.7645
"48007",28.0761,-97.04084
"48299",30.705425,-98.540825
"48387",33.6090818181818,-95.0435545454545
"48441",32.34506,-99.84574
"48181",33.624885,-96.680265
"48457",30.7764555555556,-94.3779777777778
"48129",34.91186,-100.76316
"48193",31.83066,-98.15134
"48215",26.2457111111111,-98.1632092592593
"48277",33.6388,-95.54046
"48125",33.5022,-100.803
"48113",32.7773931034483,-96.7815310344828
"48043",29.68052,-103.39508
"48159",33.1336,-95.24375
"48357",36.37786,-100.83428
"48163",28.8661714285714,-99.0762
"48479",27.53135,-99.3193833333333
"48149",29.8924769230769,-96.8926846153846
"48097",33.622475,-97.1873083333333
"48289",31.273,-96.06193
"48447",33.1572333333333,-99.0784
"48201",29.8077859649123,-95.279498245614
"48333",31.5011857142857,-98.5109714285714
"48221",32.4582333333333,-97.7792555555556
"48133",31.8656071428571,-98.8218785714286
"48297",28.41435,-98.132625
"48487",34.15704,-99.25442
"48291",30.1708352941176,-94.8497
"48401",32.1640307692308,-94.7950692307692
"48013",28.94159,-98.51374
"48207",33.2394,-99.8258
"48475",31.4982714285714,-103.029857142857
"48021",30.09852,-97.3098666666667
"48483",35.44205,-100.2837875
"48345",34.0470666666667,-100.888733333333
"48433",33.1649,-100.24815
"48131",27.5541571428571,-98.4038714285714
"48257",32.5859705882353,-96.3370411764706
"48497",33.16395,-97.6197571428571
"48501",33.0788,-102.82955
"48321",28.91155,-96.00125
"48399",31.7598666666667,-100.023316666667
"48451",31.4693333333333,-100.478722222222
"48095",31.369,-99.904225
"48505",26.85021,-99.24521
"48061",26.1134833333333,-97.59449375
"48183",32.49112,-94.84906
"48157",29.5641,-95.7018176470588
"48145",31.29229,-96.97396
"48223",33.1671444444444,-95.5676666666667
"48185",30.5175545454545,-95.97
"48055",29.8623909090909,-97.6963272727273
"48431",31.8392,-100.9859
"48481",29.2823928571429,-96.1445571428571
"48083",31.8443111111111,-99.4951222222222
"48217",31.97766,-97.0577266666667
"48361",30.1250555555556,-93.8722555555556
"48057",28.5556555555556,-96.5856111111111
"48339",30.2417,-95.4411714285714
"48135",31.88005,-102.4645
"48069",34.48525,-102.23825
"48337",33.6868727272727,-97.7544909090909
"48231",33.0887785714286,-96.0918357142857
"48307",31.2222,-99.317825
"48111",36.27002,-102.5443
"48469",28.7642727272727,-96.9741090909091
"48347",31.6842727272727,-94.6381181818182
"48219",33.5993454545455,-102.292236363636
"48389",31.181275,-103.676425
"48425",32.2341333333333,-97.7649666666667
"48493",29.21062,-98.0334
"48045",34.4194,-101.1798
"48141",31.7043764705882,-106.315735294118
"48241",30.74866,-93.9872
